OverallQual,ExterQual,Neighborhood,GarageCars,GrLivArea,YearBuilt,TotalBsmtSF,BsmtQual,GarageArea,KitchenQual,stFlrSF,FullBath,SalePrice
7,3,5,1.0986122886681098,7.444833273892193,2003,6.75343791859778,4,6.3080984415095305,3,6.75343791859778,1.0986122886681098,208500.0
6,2,24,1.0986122886681098,7.141245122350491,1976,7.141245122350491,4,6.133398042996649,2,7.141245122350491,1.0986122886681098,181500.0
7,3,5,1.0986122886681098,7.488293515159428,2001,6.825460036255307,4,6.411818267709897,3,6.825460036255307,1.0986122886681098,223500.0
7,2,6,1.3862943611198906,7.4489161025442,1915,6.6293632534374485,3,6.466144724237619,3,6.8690144506657065,0.6931471805599453,140000.0
8,3,15,1.3862943611198906,7.695757990554761,2000,7.044032897274685,4,6.729824070489475,3,7.044032897274685,1.0986122886681098,250000.0
5,2,11,1.0986122886681098,7.217443431696533,1993,6.680854678790215,4,6.175867270105761,2,6.680854678790215,0.6931471805599453,143000.0
8,3,21,1.0986122886681098,7.43543801981455,2004,7.430707082545968,5,6.456769655572163,3,7.43543801981455,1.0986122886681098,307000.0
7,2,14,1.0986122886681098,7.645397699428633,1973,7.010311867307229,4,6.184148890937483,2,7.010311867307229,1.0986122886681098,200000.0
7,2,17,1.0986122886681098,7.4815557019095165,1931,6.859614903654202,3,6.150602768446279,2,6.930494765951626,1.0986122886681098,129900.0
5,2,3,0.6931471805599453,6.982862751468942,1939,6.899723107284872,3,5.327876168789581,2,6.982862751468942,0.6931471805599453,118000.0
5,2,19,0.6931471805599453,6.947937068614969,1965,6.947937068614969,3,5.953243334287785,2,6.947937068614969,0.6931471805599453,129500.0
9,4,16,1.3862943611198906,7.751475318021456,2005,7.069874128458572,5,6.602587892189336,4,7.075808863978387,1.3862943611198906,345000.0
5,2,19,0.6931471805599453,6.816735880594968,1962,6.816735880594968,3,5.8664680569332965,2,6.816735880594968,0.6931471805599453,144000.0
7,3,5,1.3862943611198906,7.309881485824786,2006,7.309881485824786,4,6.734591659972948,3,7.309881485824786,1.0986122886681098,279500.0
6,2,12,0.6931471805599453,7.134093721192866,1960,7.134093721192866,3,5.8664680569332965,2,7.134093721192866,0.6931471805599453,157000.0
7,2,3,1.0986122886681098,6.75110146893676,1929,6.725033642166843,3,6.3578422665081,2,6.75110146893676,0.6931471805599453,132000.0
6,2,12,1.0986122886681098,6.912742820493176,1970,6.912742820493176,3,6.175867270105761,2,6.912742820493176,0.6931471805599453,149000.0
4,2,19,1.0986122886681098,7.167809184316444,1967,0.0,0,6.248042874508429,2,7.167809184316444,1.0986122886681098,90000.0
5,2,20,1.0986122886681098,7.016609683894219,2004,7.016609683894219,3,6.3578422665081,3,7.016609683894219,0.6931471805599453,159000.0
5,2,12,0.6931471805599453,7.200424892944957,1958,6.937314081223682,3,5.68697535633982,2,7.200424892944957,0.6931471805599453,139000.0
8,3,16,1.3862943611198906,7.773594467360194,2005,7.055312843339752,5,6.74993119378857,3,7.055312843339752,1.3862943611198906,325300.0
7,2,9,0.6931471805599453,7.011213987350367,1930,6.45833828334479,3,5.638354669333745,3,7.011213987350367,0.6931471805599453,139400.0
8,3,5,1.0986122886681098,7.493317248862145,2002,7.48324441607385,4,6.282266746896006,3,7.493317248862145,1.0986122886681098,230000.0
5,2,10,1.0986122886681098,6.966967138613983,1976,6.947937068614969,4,6.35088571671474,2,6.966967138613983,0.6931471805599453,129900.0
5,2,19,0.6931471805599453,6.966967138613983,1968,6.966967138613983,3,5.602118820879701,3,6.966967138613983,0.6931471805599453,154000.0
8,3,16,1.3862943611198906,7.378383712996714,2007,7.356918242356021,4,6.792344427470809,3,7.378383712996714,1.0986122886681098,256300.0
5,2,12,1.0986122886681098,6.803505257608338,1951,6.803505257608338,3,6.3578422665081,3,6.803505257608338,0.6931471805599453,134800.0
8,3,16,1.3862943611198906,7.4413203897176174,2007,7.4413203897176174,5,6.650279048587422,3,7.4413203897176174,1.0986122886681098,306000.0
5,2,12,0.6931471805599453,7.378383712996714,1957,7.3031700512368,3,5.768320995793772,2,7.378383712996714,0.6931471805599453,207500.0
4,2,3,0.6931471805599453,6.255750041753367,1927,6.255750041753367,3,5.484796933490655,1,6.255750041753367,0.6931471805599453,68500.0
4,2,9,0.6931471805599453,7.183870715062453,1920,6.476972362889683,3,5.525452939131784,2,6.476972362889683,0.6931471805599453,40000.0
5,2,19,0.6931471805599453,7.113956109566034,1966,7.113956109566034,3,5.605802066295998,3,7.113956109566034,0.6931471805599453,149350.0
8,3,5,1.0986122886681098,7.118826249062078,2007,7.118826249062078,5,6.184148890937483,3,7.118826249062078,1.0986122886681098,179900.0
5,2,12,1.0986122886681098,7.438971592395862,1959,7.243512974665482,3,6.104793232414985,3,7.438971592395862,0.6931471805599453,165500.0
9,4,16,1.0986122886681098,7.353722330399631,2005,7.353722330399631,5,6.322565239927284,4,7.353722330399631,1.0986122886681098,277500.0
8,3,16,1.3862943611198906,7.8050670442584895,2004,7.0192966537150445,5,6.539585955617669,3,7.032624261028007,1.3862943611198906,309000.0
5,2,5,1.0986122886681098,7.001245622069476,1994,7.001245622069476,4,6.511745329644728,2,7.001245622069476,0.6931471805599453,145000.0
5,2,12,1.0986122886681098,7.168579897264035,1954,7.168579897264035,3,6.212606095751519,2,7.168579897264035,0.6931471805599453,153000.0
5,2,12,0.6931471805599453,6.964135612418245,1953,6.964135612418245,3,5.5093883366279774,3,6.964135612418245,0.6931471805599453,109000.0
4,2,7,0.0,7.050122520269059,1955,0.0,0,0.0,1,7.050122520269059,1.0986122886681098,82000.0
6,2,12,1.0986122886681098,7.1891677384203225,1965,6.9930151229329605,3,6.089044875446846,2,7.1891677384203225,1.0986122886681098,160000.0
5,2,23,0.6931471805599453,7.192182058713246,1959,7.208600337960199,3,5.733341276897746,2,7.192182058713246,0.6931471805599453,170000.0
5,2,20,1.0986122886681098,6.785587645007929,1983,6.734591659972948,4,6.22455842927536,3,6.785587645007929,0.6931471805599453,144000.0
5,2,5,0.6931471805599453,6.844815479208263,1975,6.844815479208263,4,5.733341276897746,2,6.844815479208263,0.6931471805599453,130250.0
5,2,12,0.6931471805599453,7.048386408721883,1959,7.048386408721883,3,5.707110264748875,2,7.048386408721883,0.6931471805599453,141000.0
9,4,16,1.0986122886681098,7.469083884921234,2005,7.469083884921234,5,6.3578422665081,4,7.469083884921234,1.0986122886681098,319900.0
